开奖日期,期号,红球1,红球2,红球3,红球4,红球5,红球6,蓝球,销售额,原始号码
2013-01-01,2013001,06,08,14,15,24,25,06,309153922,"06,08,14,15,24,25+06"
2013-01-03,2013002,01,16,18,22,28,30,12,303822912,"01,16,18,22,28,30+12"
2013-01-06,2013003,22,23,26,27,28,33,09,367773688,"22,23,26,27,28,33+09"
2013-01-08,2013004,06,10,16,20,27,32,08,337097616,"06,10,16,20,27,32+08"
2013-01-10,2013005,01,13,14,25,31,32,12,339352226,"01,13,14,25,31,32+12"
2013-01-13,2013006,09,10,13,17,22,30,13,374366198,"09,10,13,17,22,30+13"
2013-01-15,2013007,02,09,15,22,26,32,01,341246158,"02,09,15,22,26,32+01"
2013-01-17,2013008,03,08,17,21,25,32,15,341795384,"03,08,17,21,25,32+15"
2013-01-20,2013009,01,04,09,13,16,23,02,383674016,"01,04,09,13,16,23+02"
2013-01-22,2013010,01,09,11,17,32,33,12,347709230,"01,09,11,17,32,33+12"
2013-01-24,2013011,03,12,17,24,27,29,09,350274074,"03,12,17,24,27,29+09"
2013-01-27,2013012,06,14,17,22,28,29,02,389114476,"06,14,17,22,28,29+02"
2013-01-29,2013013,05,06,13,19,22,28,09,351745408,"05,06,13,19,22,28+09"
2013-01-31,2013014,02,04,05,17,19,20,08,348187310,"02,04,05,17,19,20+08"
2013-02-03,2013015,05,06,07,11,13,18,15,377989410,"05,06,07,11,13,18+15"
2013-02-05,2013016,02,05,06,12,14,28,05,327207104,"02,05,06,12,14,28+05"
2013-02-07,2013017,04,06,12,30,31,32,09,339247106,"04,06,12,30,31,32+09"
2013-02-17,2013018,02,08,13,28,29,30,05,364752666,"02,08,13,28,29,30+05"
2013-02-19,2013019,01,02,05,16,20,26,06,316958200,"01,02,05,16,20,26+06"
2013-02-21,2013020,01,07,08,12,16,21,01,337611102,"01,07,08,12,16,21+01"
2013-02-24,2013021,01,06,17,19,26,31,11,386291388,"01,06,17,19,26,31+11"
2013-02-26,2013022,02,04,07,09,15,20,07,349104140,"02,04,07,09,15,20+07"
2013-02-28,2013023,03,06,15,18,30,32,05,359844386,"03,06,15,18,30,32+05"
2013-03-03,2013024,04,05,13,23,27,30,09,397860528,"04,05,13,23,27,30+09"
2013-03-05,2013025,16,17,18,24,25,30,08,365053994,"16,17,18,24,25,30+08"
2013-03-07,2013026,04,11,14,15,22,31,11,357237076,"04,11,14,15,22,31+11"
2013-03-10,2013027,01,02,04,12,21,24,12,401897672,"01,02,04,12,21,24+12"
2013-03-12,2013028,07,08,14,25,26,28,13,363477764,"07,08,14,25,26,28+13"
2013-03-14,2013029,06,07,10,19,23,29,12,367189222,"06,07,10,19,23,29+12"
2013-03-17,2013030,07,14,18,25,26,29,06,405193314,"07,14,18,25,26,29+06"
2013-03-19,2013031,03,13,14,15,21,33,03,365951410,"03,13,14,15,21,33+03"
2013-03-21,2013032,04,21,25,29,30,33,03,365616360,"04,21,25,29,30,33+03"
2013-03-24,2013033,05,06,13,17,19,28,01,397248028,"05,06,13,17,19,28+01"
